timepoint_id,sample_id,beta_param,gamma_param,delta_param,alpha_param,epsilon_param,zeta_param,lambda_param,eta_param,rho_param,theta_param,kappa_param,mu_param,nu_param,xi_param,tau_param,sigma_param,Ailing_sol,Diagnosed_sol,Extinct_sol,Healed_sol,Infected_sol,Recognized_sol,Susceptible_sol,Threatened_sol,Cases_obs,Hospitalizations_obs,Deaths_obs
0,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,1.6670126612439162e-08,3.333394431592751e-07,5.546796821406512e-22,1.0465392658379202e-12,3.3333435567328706e-06,3.3333790838696586e-08,0.9999963045120239,1.2665227109534983e-14,3.666732466631988e-07,3.3333803503923696e-08,5.546796821406512e-22
1,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,3.6284404814068694e-07,1.0132745273949695e-06,1.8323155492883103e-11,1.3451592906221777e-07,4.617421836883295e-06,1.747920634898037e-07,0.9999940991401672,5.8659019863682715e-09,1.1939324928711414e-06,1.8065796547617197e-07,1.8323155492883103e-11
2,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,7.465123985639366e-07,1.8917979787147488e-06,1.40766232004097e-10,3.4638969736988656e-07,6.56145675748121e-06,5.209798246141872e-07,0.9999900460243225,2.4841241952344717e-08,2.4376190452812807e-06,5.45821066566532e-07,1.40766232004097e-10
3,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,1.2260326229807106e-06,3.0859343951306073e-06,5.123287349917405e-10,6.706214321638981e-07,9.439481800654903e-06,1.1156895425301627e-06,0.9999853372573853,6.410342479057363e-08,4.265727362451344e-06,1.1797929673207364e-06,5.123287349917405e-10
4,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,1.8734534705799888e-06,4.759582679980667e-06,1.351899814316937e-09,1.1581973922147881e-06,1.3660186596098356e-05,2.0376535303512355e-06,0.9999762773513794,1.3356837769151753e-07,6.93080458802342e-06,2.171221908042753e-06,1.351899814316937e-09
5,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,2.782493311315193e-06,7.1441922955273185e-06,2.9805873325017274e-09,1.8827954590960871e-06,1.982160029001534e-05,3.412653541090549e-06,0.9999643564224243,2.471303730544605e-07,1.0803976209672328e-05,3.6597839141450095e-06,2.9805873325017274e-09
6,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,4.0838767745299265e-06,1.0574140105745755e-05,5.867524688341064e-09,2.9519505915232003e-06,2.8800828658859245e-05,5.431500539998524e-06,0.9999476671218872,4.247851848049322e-07,1.643042583054921e-05,5.856285724803456e-06,5.867524688341064e-09
7,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,5.963471267023124e-06,1.5532456018263474e-05,1.0692313701099465e-08,4.521843493421329e-06,4.1873936424963176e-05,8.376155165024102e-06,0.9999229907989502,6.953686693123018e-07,2.4603979852599878e-05,9.071523834336404e-06,1.0692313701099465e-08
8,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,8.689183232490905e-06,2.2720421839039773e-05,1.8440815097164887e-08,6.819784175604582e-06,6.0899703385075554e-05,1.266031449631555e-05,0.9998873472213745,1.1007153943864978e-06,3.648145172974182e-05,1.3761029890702048e-05,1.8440815097164887e-08
9,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,1.2649025848077144e-05,3.315674985060468e-05,3.054317332384926e-08,1.0176522664551158e-05,8.858242654241621e-05,1.8888156773755327e-05,0.9998343586921692,1.7015902358252788e-06,5.374649686018529e-05,2.0589747009580606e-05,3.054317332384926e-08
10,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,1.8406120943836868e-05,4.832230479223654e-05,4.9074923680336724e-08,1.5073120266606566e-05,0.00012885520118288696,2.794013016682584e-05,0.9997586607933044,2.5863344035315095e-06,7.884876936259388e-05,3.052646457035735e-05,4.9074923680336724e-08
11,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,2.6778579922392964e-05,7.036935130599886e-05,7.704972659894338e-08,2.2209234884940088e-05,0.0001874349982244894,4.109787550987676e-05,0.9996481537818909,3.8833982216601726e-06,0.00011535062503753579,4.498127373153693e-05,7.704972659894338e-08
