state,date,inpatient_beds_used_covid
AS,2023/01/19,0
AS,2023/01/17,0
AS,2023/01/14,0
AS,2023/01/11,0
AS,2023/01/09,0
AS,2023/01/06,0
AS,2023/01/04,0
AS,2023/01/03,0
AS,2023/01/01,0
AS,2022/12/29,0
AS,2022/12/27,0
AS,2022/12/24,0
VI,2022/12/21,0
AS,2022/12/19,0
VI,2022/12/17,2
VI,2022/12/15,2
AS,2022/12/14,0
VI,2022/12/14,4
AS,2022/12/13,0
UT,2022/12/13,205
AS,2022/12/12,0
VI,2022/12/12,4
AK,2022/12/11,50
VI,2022/12/10,4
AS,2022/12/09,0
VI,2022/12/09,5
AS,2022/12/08,0
VI,2022/12/07,3
AS,2022/12/06,0
VI,2022/12/06,5
AS,2022/12/05,0
AS,2022/12/04,0
VI,2022/12/04,3
WY,2022/12/04,29
VI,2022/12/03,3
AS,2022/12/01,0
VI,2022/12/01,2
AS,2022/11/30,1
VI,2022/11/30,2
AR,2022/11/29,298
AK,2022/11/28,37
AS,2022/11/28,0
VI,2022/11/28,2
AS,2022/11/27,1
VI,2022/11/26,1
AS,2022/11/25,0
VI,2022/11/25,1
VI,2022/11/23,1
AS,2022/11/22,0
VI,2022/11/22,1
AK,2022/11/21,39
AS,2022/11/20,0
VI,2022/11/20,2
AS,2022/11/19,0
VI,2022/11/19,2
AS,2022/11/17,0
VI,2022/11/17,0
AS,2022/11/16,0
VI,2022/11/16,1
WY,2022/11/16,38
AS,2022/11/14,0
VI,2022/11/14,2
VI,2022/11/13,1
AS,2022/11/11,0
VI,2022/11/11,1
AS,2022/11/10,0
VI,2022/11/10,1
WI,2022/11/10,532
AS,2022/11/08,0
VI,2022/11/08,0
AS,2022/11/07,0
AS,2022/11/05,0
VI,2022/11/05,0
RI,2022/11/04,76
AS,2022/11/02,0
VI,2022/11/02,0
AK,2022/10/31,22
AS,2022/10/29,0
VT,2022/10/29,61
AK,2022/10/28,22
VI,2022/10/27,1
AS,2022/10/26,0
VI,2022/10/26,3
AR,2022/10/25,199
VI,2022/10/25,4
AS,2022/10/24,0
VI,2022/10/24,4
VI,2022/10/23,5
VT,2022/10/22,78
AS,2022/10/21,0
VI,2022/10/21,4
AK,2022/10/20,29
AK,2022/10/18,23
AS,2022/10/18,0
VI,2022/10/18,2
WY,2022/10/18,18
AS,2022/10/15,0
VI,2022/10/15,1
WY,2022/10/15,17
VI,2022/10/13,2
AS,2022/10/12,0
VI,2022/10/12,2
AK,2022/10/11,42
AS,2022/10/10,0
VI,2022/10/10,5
VI,2022/10/09,4
WV,2022/10/09,169
WY,2022/10/08,20
AS,2022/10/07,0
VI,2022/10/07,5
VI,2022/10/06,5
VT,2022/10/06,57
AK,2022/10/04,28
AS,2022/10/04,0
VI,2022/10/04,6
VT,2022/10/02,58
AS,2022/10/01,0
VI,2022/10/01,5
AK,2022/09/30,38
VI,2022/09/29,8
AS,2022/09/28,0
VI,2022/09/28,8
AK,2022/09/27,34
VT,2022/09/27,43
AS,2022/09/26,0
VI,2022/09/26,8
VI,2022/09/25,8
WY,2022/09/24,13
AS,2022/09/23,0
VI,2022/09/23,11
AK,2022/09/22,38
WY,2022/09/21,22
AS,2022/09/20,0
VI,2022/09/20,10
WY,2022/09/20,19
VI,2022/09/18,8
AS,2022/09/17,0
VI,2022/09/17,9
AK,2022/09/16,46
AK,2022/09/15,63
AS,2022/09/15,0
VI,2022/09/15,7
WY,2022/09/15,21
UT,2022/09/13,109
AS,2022/09/12,0
VI,2022/09/12,6
WY,2022/09/12,16
VI,2022/09/10,8
AS,2022/09/09,0
VI,2022/09/09,8
AK,2022/09/08,60
WY,2022/09/08,17
AS,2022/09/07,0
VI,2022/09/07,8
WY,2022/09/07,15
WY,2022/09/05,18
AS,2022/09/04,0
VI,2022/09/04,7
AS,2022/09/03,0
VI,2022/09/02,7
AS,2022/09/01,0
VI,2022/09/01,9
WY,2022/09/01,21
WY,2022/08/31,21
AS,2022/08/30,0
VI,2022/08/30,12
WY,2022/08/30,23
VI,2022/08/28,9
AS,2022/08/27,0
VI,2022/08/27,7
AS,2022/08/26,0
VI,2022/08/25,8
AS,2022/08/24,0
VI,2022/08/24,7
AS,2022/08/23,1
VI,2022/08/23,7
VI,2022/08/22,4
WY,2022/08/22,23
VT,2022/08/20,32
AS,2022/08/19,3
VI,2022/08/19,6
AS,2022/08/18,2
VI,2022/08/17,9
AS,2022/08/16,0
VI,2022/08/16,7
AS,2022/08/15,0
VI,2022/08/15,6
AS,2022/08/14,0
VI,2022/08/14,5
AS,2022/08/13,0
VI,2022/08/12,4
AS,2022/08/11,0
VI,2022/08/11,3
AS,2022/08/10,0
VI,2022/08/09,6
AS,2022/08/08,0
VI,2022/08/08,3
AS,2022/08/07,1
VI,2022/08/07,2
AS,2022/08/06,0
VI,2022/08/06,3
AS,2022/08/05,1
VI,2022/08/04,4
AS,2022/08/03,2
VI,2022/08/03,6
AS,2022/08/02,2
WY,2022/08/01,39
AS,2022/07/31,1
VI,2022/07/31,8
AS,2022/07/30,2
VI,2022/07/30,9
VI,2022/07/29,13
AS,2022/07/28,5
VI,2022/07/27,7
VI,2022/07/26,6
AS,2022/07/25,4
VI,2022/07/24,3
AS,2022/07/23,3
VI,2022/07/23,3
AS,2022/07/22,6
VI,2022/07/22,2
AS,2022/07/21,5
VI,2022/07/21,2
AS,2022/07/20,7
VI,2022/07/19,10
AS,2022/07/18,9
