state,date,inpatient_beds_used_covid
DE,2020/10/19,182
PA,2021/02/07,3468
ME,2021/01/20,240
OH,2020/09/23,1115
MS,2021/01/23,1120
GA,2020/12/03,2799
WY,2020/10/03,51
IN,2021/02/23,873
DE,2020/12/11,420
MD,2021/01/01,2007
KY,2020/11/03,1108
TX,2020/12/10,9998
OR,2020/09/23,209
NE,2020/12/29,557
OH,2021/03/25,1470
NC,2020/09/25,1201
ND,2020/10/25,294
WI,2020/10/17,1412
MI,2020/11/25,4092
KS,2020/12/05,1206
PR,2020/10/17,353
ME,2021/01/26,221
CT,2020/08/18,129
LA,2021/03/16,405
TX,2020/12/29,12791
VA,2021/01/07,2984
TN,2020/12/05,2672
NY,2021/01/20,10043
RI,2020/10/02,94
PA,2020/11/11,3033
MA,2020/09/07,301
MN,2020/10/23,727
FL,2021/03/04,4015
DE,2020/12/22,490
IA,2020/08/23,317
KS,2020/10/29,544
HI,2021/02/10,78
UT,2020/12/24,568
VI,2020/12/09,2
WA,2021/03/02,434
AZ,2020/08/27,889
NH,2020/11/16,117
WA,2020/11/03,477
ND,2020/12/24,238
LA,2020/03/30,503
IN,2021/03/11,623
NE,2020/08/19,174
PA,2020/08/21,1087
FL,2021/01/28,7333
NV,2020/10/21,518
OK,2020/08/18,606
PA,2021/02/13,2805
MN,2021/03/04,302
NE,2020/09/08,226
SC,2020/10/06,696
TN,2020/12/17,3150
PA,2020/08/23,1053
MA,2020/11/09,623
IL,2021/01/14,3547
HI,2020/08/26,289
IA,2021/02/15,266
ND,2021/01/05,187
WI,2020/08/26,582
OR,2020/09/30,198
MA,2021/02/08,1235
ID,2021/01/03,356
AL,2020/09/18,920
PR,2021/02/18,263
OK,2020/11/09,1197
PR,2020/11/28,623
VA,2020/08/25,1079
LA,2021/01/21,1595
WI,2021/02/25,427
IN,2020/12/11,3160
SD,2020/11/26,515
IL,2021/03/06,1232
CA,2021/03/08,4171
DC,2021/01/18,376
SD,2020/11/14,549
SC,2021/03/20,518
KY,2021/02/12,1152
GA,2020/11/30,2636
NJ,2020/09/22,659
NE,2021/02/16,204
MO,2020/12/14,2536
TN,2020/12/14,3040
DC,2020/12/04,272
NJ,2020/08/29,766
IA,2020/10/21,572
NE,2020/08/30,216
NH,2020/10/31,69
OH,2020/10/14,1661
KY,2021/01/16,1725
KY,2021/02/06,1327
NC,2020/10/02,1254
WI,2021/02/16,497
NV,2021/03/06,411
OH,2020/09/20,1022
NV,2020/10/27,552
AL,2020/10/07,977
TX,2020/10/07,4398
AL,2020/11/24,1548
CA,2021/02/26,5872
DE,2021/03/14,118
UT,2021/01/05,576
CA,2020/11/25,7231
CT,2020/09/29,240
VI,2021/03/24,4
DE,2020/11/16,200
PA,2020/12/01,5813
CA,2020/09/19,3551
NE,2020/09/12,215
NE,2020/09/03,196
MO,2020/12/23,2821
WY,2021/01/25,70
WY,2021/03/22,18
MT,2020/12/08,391
CO,2021/01/12,957
KS,2021/02/28,334
CO,2020/12/02,2041
IA,2020/08/20,351
RI,2020/09/10,85
AR,2020/12/10,1151
TN,2020/12/22,3159
TX,2020/11/07,6741
NE,2020/10/30,632
PA,2021/03/12,2013
NY,2020/09/25,1301
CO,2021/02/25,466
OK,2020/10/11,801
NC,2021/02/02,2766
RI,2021/02/17,223
AL,2020/09/27,932
NY,2020/11/07,2313
LA,2020/12/22,1562
CA,2020/12/20,18463
IN,2021/02/17,977
NV,2021/01/11,1795
NY,2020/09/01,1492
ID,2020/11/28,452
MO,2021/03/13,874
IA,2020/12/13,793
NY,2021/01/04,9564
OH,2021/03/16,1272
NE,2020/10/06,327
VA,2020/09/04,1211
OR,2020/11/25,590
KS,2020/10/15,465
UT,2020/12/15,568
TX,2021/02/15,8305
IN,2021/03/22,594
MS,2021/02/21,586
AR,2021/02/13,730
FL,2021/02/18,4969
MO,2021/03/04,978
ND,2021/01/19,149
PR,2020/10/24,470
OH,2020/11/06,2535
SC,2020/12/12,1195
AL,2020/10/04,961
VA,2020/08/19,1186
FL,2020/10/03,2538
MN,2020/10/04,511
NV,2020/08/21,896
MT,2020/09/19,109
MD,2020/08/27,772
KS,2020/09/23,355
NC,2020/12/22,3162
WY,2020/11/05,161
ND,2020/08/31,104
MN,2021/02/13,406
NJ,2020/09/18,638
MN,2021/02/05,471
CT,2021/03/18,472
CA,2021/01/10,22678
TN,2021/02/10,1327
AK,2021/03/01,25
LA,2020/11/27,1042
MT,2020/11/09,478
WY,2021/01/02,110
ME,2020/11/19,126
MN,2020/08/23,465
LA,2020/11/15,771
SD,2020/12/21,327
MT,2020/08/26,97
WV,2021/03/02,233
AK,2020/11/01,96
NV,2020/12/27,1958
SD,2021/02/02,128
ID,2021/01/05,374
MI,2020/09/25,557
GA,2020/08/25,3177
ID,2021/02/07,174
FL,2020/09/14,3836
NV,2020/10/07,511
PA,2021/01/17,5347
OR,2020/09/28,208
NC,2020/10/19,1487
MD,2021/02/19,1283
AK,2021/01/06,89
OK,2020/11/27,1598
RI,2020/12/21,489
OR,2020/08/22,181
MD,2020/12/11,2054
SC,2021/01/21,2180
MD,2020/11/26,1837
NC,2020/08/20,1421
PA,2020/12/26,6668
MD,2020/11/14,1291
OR,2021/01/12,521
MN,2020/12/18,1288
OR,2020/11/14,456
GA,2021/02/04,4279
VA,2021/03/19,1061
UT,2021/02/19,266
VT,2021/01/01,31
ME,2020/09/24,30
CO,2020/10/15,457
IA,2020/08/29,350
OR,2020/12/02,665
KS,2021/03/27,187
WY,2020/10/11,73
NV,2020/10/02,468
NV,2020/10/04,472
OR,2020/10/03,289
MS,2021/03/09,387
ME,2020/12/08,206
NJ,2020/09/04,777
IL,2021/03/15,1162
ND,2020/09/05,94
NC,2020/12/19,2953
NJ,2020/11/15,2241
NC,2020/10/05,1373
SD,2020/09/30,207
SD,2021/03/25,74
OH,2021/03/07,1184
IN,2021/01/23,2069
HI,2021/02/26,43
MN,2021/02/11,420
UT,2021/03/14,178
FL,2021/03/23,3374
TN,2021/03/08,786
CA,2021/01/12,22453
RI,2021/02/21,211
NE,2021/02/19,181
LA,2020/08/19,1109
MO,2020/08/30,935
FL,2021/02/16,5200
IA,2020/11/22,1356
NC,2021/01/24,3274
MD,2020/10/03,613
SC,2021/01/19,2182
ME,2020/11/18,129
AR,2021/02/01,837
TN,2021/02/17,1203
NV,2020/12/21,1974
NM,2021/02/15,315
NJ,2021/01/10,3904
MA,2021/02/14,1051
DC,2021/03/07,227
DC,2020/10/22,158
NM,2021/03/26,135
AZ,2020/12/23,4437
FL,2020/12/08,5170
NE,2021/02/12,215
TX,2020/12/27,12147
SC,2020/08/31,901
ID,2020/09/05,152
PR,2020/11/16,581
VI,2020/09/25,4
MI,2021/03/23,1709
VA,2020/10/27,1045
OK,2020/10/30,952
WV,2021/01/12,819
VT,2020/11/13,21
GA,2021/03/03,1677
NM,2021/03/10,156
VT,2021/02/14,51
CA,2020/10/05,3285
MO,2021/03/17,909
CA,2020/11/04,3497
TX,2020/12/18,10591
MA,2020/11/15,823
CO,2020/10/03,321
PR,2021/02/26,191
FL,2020/09/10,4320
MI,2021/02/17,934
NV,2020/12/28,1926
AZ,2020/11/06,1134
WI,2021/03/15,277
VA,2020/12/12,2131
WV,2020/09/30,242
ND,2020/12/26,224
AK,2020/12/04,166
ID,2020/08/22,173
DE,2020/10/16,151
KY,2020/08/20,613
TN,2020/10/23,1520
IN,2021/02/28,768
PR,2020/08/25,405
IA,2021/02/23,249
GA,2021/02/13,3572
IL,2020/12/24,4452
ID,2021/02/09,180
HI,2020/12/28,100
CT,2020/11/29,1286
MD,2021/02/06,1750
GA,2021/03/20,1387
NY,2020/10/25,1825
OR,2020/10/07,227
PR,2020/11/09,571
TX,2020/12/11,9971
OH,2020/09/08,1173
OR,2021/03/23,182
ND,2020/10/29,332
AL,2020/10/27,1125
HI,2020/10/09,110
OH,2021/01/18,4226
KS,2021/02/24,372
VT,2021/03/05,26
HI,2020/11/14,92
MT,2021/01/12,213
ND,2021/02/27,93
OK,2021/02/20,873
MD,2021/01/10,2135
ND,2020/12/22,276
DC,2021/01/03,327
RI,2020/12/02,454
RI,2021/01/05,447
DC,2020/11/16,221
GA,2020/12/30,5169
ND,2020/11/10,526
AL,2020/11/17,1405
MI,2020/10/28,1579
RI,2021/02/12,283
NE,2020/12/30,588
MI,2020/10/12,951
NJ,2021/01/15,3789
VA,2020/12/31,2665
MI,2021/02/25,829
FL,2021/01/16,7977
WV,2020/09/02,203
AK,2021/01/21,56
ND,2020/12/13,333
SD,2020/11/05,486
DE,2020/11/02,155
MI,2021/02/16,933
SC,2020/09/25,729
WA,2020/09/16,379
MA,2021/01/05,2220
MI,2020/12/06,4046
NH,2021/02/09,165
KS,2021/02/14,456
SC,2020/11/17,779
PR,2021/01/27,322
IN,2020/09/08,786
CO,2020/12/05,1866
HI,2020/10/31,78
AR,2020/11/22,1048
VI,2020/10/06,2
WV,2020/09/23,261
UT,2021/01/26,518
WI,2021/01/06,1282
OR,2020/09/18,179
MA,2020/06/02,1952
VT,2021/03/21,22
PA,2020/10/20,1450
FL,2021/01/12,8412
MS,2020/11/14,735
ID,2020/11/27,448
MS,2020/11/20,986
MS,2021/01/14,1382
CT,2020/12/09,1405
MI,2020/08/28,650
LA,2020/10/25,562
MS,2021/03/13,391
RI,2020/10/26,163
SD,2020/11/21,569
MT,2021/03/21,44
MT,2020/12/28,228
MN,2021/03/28,419
AK,2021/03/10,40
AR,2021/01/31,988
OK,2021/01/15,1983
IL,2020/09/07,1771
MO,2020/11/07,2109
AZ,2021/02/05,3157
AL,2021/01/07,3326
OK,2021/03/11,446
MO,2021/03/08,880
FL,2020/12/24,6210
GA,2021/01/17,6209
WA,2021/03/26,433
WI,2020/08/31,479
NC,2021/03/13,1064
OR,2021/03/24,172
CO,2020/09/24,305
ND,2020/12/28,235
GA,2020/11/12,2167
NH,2021/02/08,170
WA,2020/10/15,388
VA,2020/11/03,998
MT,2020/09/29,217
PA,2020/11/14,3310
DE,2020/12/19,479
NC,2021/03/26,935
WI,2021/03/06,310
OR,2021/01/20,445
AR,2020/09/25,572
DC,2020/08/20,140
NJ,2020/11/25,2984
VI,2021/02/15,1
AZ,2020/11/13,1478
IN,2020/10/23,1670
WY,2020/09/27,46
MT,2020/10/31,409
KY,2021/03/28,395
ID,2020/08/19,192
MS,2020/10/21,657
ME,2020/11/04,55
ME,2020/05/20,79
ID,2020/09/22,137
NH,2020/10/04,46
MI,2020/08/22,658
MS,2021/01/01,1403
SC,2020/09/10,809
GA,2021/01/14,6332
MN,2020/12/03,1876
HI,2020/10/14,111
HI,2020/09/20,166
WA,2021/02/28,476
TX,2020/10/12,4826
NE,2020/12/14,712
MI,2020/11/18,3804
AK,2021/01/14,73
CO,2020/12/06,1797
SC,2020/11/29,931
PA,2020/11/12,3067
CA,2021/03/02,5077
PA,2021/03/28,2224
MS,2020/12/20,1300
NM,2020/11/01,467
KY,2020/09/15,600
MI,2021/02/26,846
ME,2020/11/12,103
WY,2021/01/13,95
GA,2021/03/13,1798
NE,2020/08/25,212
WY,2020/09/13,36
LA,2021/01/26,1502
IA,2020/12/14,811
SD,2020/09/13,109
AL,2020/10/06,985
SD,2020/12/30,298
VT,2020/12/05,25
WA,2020/08/20,346
LA,2021/02/09,1005
ID,2021/01/29,223
HI,2020/12/16,75
ME,2021/01/24,225
TN,2021/02/27,1002
AZ,2020/11/07,1182
DE,2021/01/15,485
TN,2020/12/18,3041
CT,2021/01/22,1241
SD,2021/03/03,85
VI,2021/02/08,5
IL,2020/11/03,3876
KY,2020/09/13,541
MN,2021/02/01,460
MN,2020/09/30,536
MN,2020/08/29,491
MD,2020/11/16,1422
NC,2020/12/10,2797
NH,2020/12/23,329
ME,2021/03/21,95
ME,2020/10/15,27
CO,2021/01/02,1077
PR,2020/08/20,412
MN,2020/12/01,2022
DC,2020/12/27,300
GA,2021/01/21,6084
OK,2020/11/02,1042
DE,2021/02/21,194
VA,2021/02/04,2307
OR,2020/10/12,248
NH,2020/11/27,151
MD,2021/02/05,1731
CA,2020/12/28,21272
CT,2020/11/14,913
VA,2021/03/13,1099
LA,2021/03/25,361
NY,2021/02/19,6933
LA,2021/03/04,495
CO,2020/12/27,1251
IA,2021/02/19,248
LA,2020/09/09,721
IL,2021/01/16,3470
IN,2020/10/15,1325
WI,2020/12/15,1697
NH,2021/02/28,93
HI,2021/03/25,47
SC,2020/12/08,1146
PA,2021/01/25,4422
CT,2021/03/28,563
MI,2021/03/07,921
KY,2021/02/25,888
PA,2021/03/21,1917
NV,2020/11/23,1425
CO,2020/12/15,1603
UT,2021/01/29,534
CO,2020/12/17,1574
KS,2021/03/05,278
PR,2020/08/27,419
OH,2021/03/14,1152
HI,2020/11/26,69
AZ,2020/11/18,1807
AR,2020/12/14,1115
DE,2020/09/11,238
MN,2021/02/18,371
ND,2020/10/18,232
CT,2021/03/12,464
ND,2020/10/09,246
MN,2020/12/13,1506
MT,2021/01/03,204
VT,2021/02/24,31
ND,2020/10/23,318
NC,2020/11/12,1757
PR,2020/12/31,460
SC,2020/10/04,626
IL,2020/09/02,1840
VT,2021/03/24,23
SD,2020/12/03,515
WA,2020/08/25,459
NC,2020/10/07,1427
WV,2021/01/06,935
VT,2020/09/14,2
PA,2021/01/22,4915
TN,2020/10/18,1400
DE,2021/01/01,482
IL,2020/08/28,1735
WA,2020/12/27,1163
IL,2020/09/04,1751
SD,2020/11/13,551
MD,2020/09/22,680
KS,2020/09/26,397
UT,2020/08/22,176
MA,2020/12/24,2005
WY,2021/02/05,53
CA,2021/03/12,3725
MD,2021/01/18,2167
IA,2020/12/01,1167
OK,2021/03/01,648
TN,2020/09/05,1057
VT,2020/11/25,25
MO,2020/09/20,989
VI,2020/10/09,2
KS,2020/10/01,393
MT,2021/01/01,194
ND,2020/08/18,93
WA,2020/10/20,403
RI,2020/12/20,494
MI,2020/08/20,673
TN,2020/09/29,1109
NM,2020/05/02,143
MT,2020/09/24,139
NH,2020/09/10,27
OR,2020/09/27,219
PA,2020/09/16,1099
TN,2020/10/04,1153
NM,2020/12/17,833
DE,2021/01/05,473
WA,2020/08/23,308
MN,2020/12/10,1721
TN,2020/09/20,979
WY,2020/09/22,36
WI,2020/03/25,21
GA,2021/01/27,5311
SD,2021/03/22,65
TN,2021/01/04,3455
DC,2021/03/17,219
NH,2020/12/07,242
NY,2020/10/22,1840
VA,2020/11/29,1709
ND,2021/01/30,110
KS,2020/10/11,461
PA,2020/11/21,4522
KS,2020/09/17,326
NV,2021/03/15,316
UT,2020/10/30,351
MI,2020/10/17,1118
DE,2020/09/16,100
MS,2020/09/02,774
IN,2020/11/24,3378
TN,2020/10/14,1452
HI,2021/01/22,139
VA,2020/12/24,2449
MO,2021/01/28,1871
ME,2021/03/18,95
NY,2020/12/14,6837
GA,2021/01/25,5504
PA,2020/09/27,884
VI,2021/01/13,0
KY,2020/10/17,764
VA,2021/01/16,3078
CO,2021/01/28,717
MT,2021/02/07,107
NY,2021/01/31,8939
PA,2020/11/28,5423
NC,2021/03/23,1007
DC,2020/09/13,132
KS,2020/12/11,1210
WA,2020/11/11,646
IA,2020/08/30,318
OK,2020/09/09,536
WA,2020/10/19,404
NE,2020/11/03,729
ME,2020/11/02,53
UT,2021/03/02,223
AZ,2020/11/25,2354
TX,2021/02/22,7782
PA,2021/03/25,2250
AK,2020/11/08,124
WY,2021/01/10,96
CO,2020/09/18,297
OH,2021/02/05,2528
NJ,2021/02/04,3084
NM,2020/10/14,190
VT,2021/03/23,27
SC,2021/03/27,484
ME,2021/01/13,246
SC,2021/01/12,2243
MI,2020/10/13,1003
UT,2020/09/01,181
NY,2020/09/20,1225
NJ,2021/01/09,3849
MI,2020/09/19,553
NJ,2020/11/13,2115
NE,2021/01/25,409
VI,2020/11/01,4
SD,2020/11/24,569
IL,2021/03/24,1342
KY,2021/03/24,436
TX,2021/03/29,3683
MA,2020/10/01,359
AL,2020/08/19,1455
KS,2021/03/23,189
WI,2021/01/07,1216
IN,2021/01/14,2432
IN,2021/02/15,976
DC,2021/03/26,175
CA,2021/03/11,3839
VA,2021/03/14,1070
VI,2021/01/02,2
VI,2020/12/29,5
IN,2021/02/19,944
KY,2021/03/26,432
GA,2021/01/11,6257
ND,2020/08/22,80
ID,2020/10/21,262
OR,2020/09/06,184
CT,2020/09/20,141
RI,2020/12/19,468
AL,2020/10/16,1034
MS,2021/03/03,447
TX,2020/03/06,2
NE,2021/03/04,163
TX,2020/09/23,3968
DE,2020/12/02,333
LA,2020/08/29,795
CO,2020/12/21,1396
AZ,2020/08/29,838
GA,2020/09/03,2642
LA,2020/11/06,603
GA,2021/03/22,1394
TX,2021/01/06,14569
ND,2020/10/19,221
AL,2021/02/22,972
WV,2021/03/01,251
MS,2020/12/29,1444
PA,2020/12/17,7171
UT,2020/09/15,146
AL,2021/02/25,929
TX,2020/12/23,11512
KS,2020/11/13,976
MN,2020/09/25,532
NM,2020/10/25,395
PR,2020/12/25,487
NC,2020/11/30,2214
SD,2021/02/13,87
NM,2020/08/18,113
WA,2021/01/21,878
TN,2020/08/23,1096
MS,2020/12/11,1232
CT,2020/12/26,1351
AK,2021/02/15,42
ND,2021/01/07,184
MS,2020/09/08,643
VT,2021/01/25,56
CT,2020/12/03,1333
NM,2020/10/15,206
NV,2021/01/07,1928
WV,2020/08/30,185
TX,2020/10/20,5573
NM,2020/09/18,102
NJ,2021/01/26,3289
DC,2020/08/26,131
NM,2020/09/06,98
PR,2020/10/22,486
VI,2021/01/21,1
WI,2020/04/08,168
SC,2020/12/06,1042
GA,2021/01/08,6185
OK,2020/10/05,756
KS,2021/03/19,191
TN,2021/03/24,888
NH,2020/12/19,290
DC,2020/12/31,320
NC,2021/03/22,955
ID,2021/03/27,161
WY,2021/03/14,17
AZ,2020/10/28,729
SC,2020/11/26,895
OR,2021/01/28,410
NJ,2020/09/14,615
ND,2021/01/16,171
FL,2020/11/26,4385
KY,2020/10/19,818
NM,2020/09/21,122
CO,2020/10/07,421
VA,2021/01/15,3054
MN,2021/03/25,447
IN,2021/01/04,2892
VA,2020/08/26,1071
FL,2021/01/03,7798
SC,2020/09/30,710
VA,2020/09/12,1032
DC,2020/08/25,130
MT,2020/12/25,199
MA,2021/01/12,2007
ID,2020/10/24,268
TX,2020/11/22,9113
HI,2020/10/18,107
DC,2020/08/21,131
CA,2020/12/22,19412
NH,2021/02/05,192
CT,2020/11/23,1099
AK,2021/03/20,41
GA,2021/01/09,6214
SC,2020/11/16,771
WI,2021/03/04,310
ID,2020/09/25,139
CA,2020/10/11,3190
OR,2021/02/25,248
MO,2020/12/24,2730
NH,2020/10/05,48
SD,2021/01/11,238
NV,2020/08/19,938
UT,2020/12/09,557
CO,2020/10/12,415
OK,2021/01/12,2032
OR,2020/10/21,215
TN,2021/02/18,1134
VA,2021/01/18,2990
NV,2020/08/24,844
IN,2021/02/08,1230
MT,2020/11/25,495
NM,2020/10/10,184
VI,2020/12/17,4
TN,2020/12/16,3114
NY,2020/08/23,1452
ME,2021/01/15,243
DE,2020/08/23,81
HI,2021/02/27,51
MN,2020/11/22,2016
SC,2021/02/06,1476
VA,2021/03/07,1200
OK,2021/03/12,430
OR,2021/03/20,189
ME,2021/01/22,230
OH,2020/09/22,1134
MA,2021/03/02,718
CO,2020/11/24,1730
PR,2020/12/14,679
CA,2020/12/10,13066
IA,2021/03/14,179
MA,2021/02/11,1148
DE,2020/10/21,166
OH,2020/10/28,1827
AZ,2020/09/23,675
MA,2020/08/30,272
MN,2020/10/19,704
MO,2020/08/21,908
SC,2020/11/08,747
LA,2020/09/12,664
OK,2021/03/09,420
MI,2020/12/16,3592
NC,2021/02/23,1539
IN,2021/03/16,610
PA,2020/11/22,4690
ME,2021/02/12,133
CA,2020/11/11,4061
HI,2020/10/04,120
MD,2020/11/30,1956
OH,2020/08/29,1356
MT,2020/12/18,277
MS,2020/09/03,746
TX,2020/12/01,9970
ID,2021/03/09,145
ME,2020/11/21,133
RI,2020/09/26,100
ID,2020/08/29,174
NV,2021/02/01,1199
AZ,2021/03/04,1081
AL,2021/02/24,942
WA,2020/10/24,390
KS,2021/03/21,197
LA,2021/03/06,498
PA,2021/02/02,4166
HI,2021/02/17,55
NH,2020/09/01,36
DC,2020/11/28,233
CT,2021/02/11,793
DE,2020/12/13,428
PR,2020/11/19,607
MO,2020/08/27,1010
PR,2020/10/29,520
NV,2020/10/06,498
MO,2021/01/25,1908
CT,2020/11/11,799
MO,2020/12/08,2795
WV,2021/02/06,503
AZ,2021/01/27,4206
ME,2021/01/23,219
VT,2020/09/17,1
MI,2020/11/09,2832
TX,2020/12/20,10798
MN,2021/02/21,333
SC,2020/12/24,1668
NE,2020/12/27,567
WA,2021/01/31,854
IA,2020/12/17,720
MD,2021/03/13,1036
VT,2020/08/21,7
NH,2021/01/04,335
NV,2020/10/30,566
VA,2021/01/12,3111
NH,2020/09/25,35
SD,2021/01/17,203
RI,2020/10/24,158
MD,2020/10/02,649
MI,2020/10/30,1733
OR,2021/02/15,304
VA,2021/03/11,1169
AK,2020/08/18,54
TX,2020/11/23,9174
PR,2021/03/17,159
MT,2021/02/04,115
NE,2021/03/01,177
KS,2021/01/19,834
DE,2020/12/20,501
WI,2020/08/19,666
HI,2020/12/12,80
CA,2020/11/01,3256
MS,2020/11/28,1037
WA,2020/10/17,384
MO,2020/09/05,918
IL,2020/08/25,1696
VA,2021/01/09,2977
FL,2021/02/07,5923
IA,2020/09/23,354
TX,2020/09/02,5253
MA,2021/01/23,1846
MN,2020/12/26,1063
NC,2020/11/24,2083
SD,2021/03/19,70
MD,2020/11/28,1886
UT,2021/03/09,183
FL,2020/09/24,2696
ID,2021/02/18,137
VI,2021/03/16,6
DE,2020/08/29,86
FL,2020/08/31,5195
PA,2020/12/05,6396
MT,2020/11/18,486
AZ,2020/09/22,737
CO,2020/10/04,321
AZ,2020/05/28,1318
VT,2020/08/24,6
LA,2021/03/15,429
VT,2021/02/13,52
NE,2020/08/21,160
IN,2020/10/05,1097
FL,2020/09/09,4579
CO,2021/02/06,613
PR,2021/03/07,146
KY,2020/11/11,1414
WA,2020/11/18,819
HI,2020/10/13,130
NC,2020/01/19,0
HI,2021/01/30,93
NH,2020/09/26,42
AL,2020/10/15,996
VT,2021/01/22,45
OR,2020/10/02,219
MI,2020/12/21,3189
DC,2020/10/08,166
IN,2020/10/02,943
IL,2021/01/15,3451
CO,2020/08/18,254
NJ,2020/09/12,694
OR,2020/06/26,131
VA,2020/12/21,2418
SC,2021/03/11,568
HI,2020/09/29,166
DC,2020/09/14,134
AZ,2021/01/18,4751
MN,2020/12/19,1234
CT,2020/11/30,1348
VI,2021/02/19,0
FL,2020/12/18,5814
DE,2021/03/03,155
OK,2021/02/18,919
DC,2021/02/26,263
SD,2020/11/30,538
GA,2020/09/21,2223
FL,2020/12/22,6260
ND,2021/03/27,69
NE,2021/01/16,451
SC,2020/10/03,594
ME,2020/12/16,232
WI,2020/08/29,502
SC,2021/02/07,1474
MI,2020/08/26,706
CO,2020/11/25,1817
IL,2021/02/04,2439
MO,2020/08/31,911
AZ,2020/11/04,1073
SC,2021/03/14,575
PR,2020/11/04,559
FL,2020/09/06,4477
OH,2020/09/17,1137
HI,2020/12/18,75
CO,2021/03/23,383
PR,2020/11/07,542
IA,2021/01/06,636
WI,2020/09/03,504
SC,2020/08/28,944
MS,2021/03/12,388
IN,2020/11/01,1771
NV,2021/02/24,572
AR,2020/11/30,1088
MO,2020/11/26,2676
UT,2021/02/09,352
IL,2020/11/15,5822
IL,2021/03/11,1229
DE,2020/10/24,154
FL,2020/09/19,2900
NJ,2021/03/21,2111
MD,2021/03/08,1058
KS,2020/10/06,448
FL,2021/02/20,4812
VI,2020/10/02,3
HI,2021/03/21,38
KS,2020/11/23,1210
NJ,2020/11/29,3195
ND,2021/03/17,75
DE,2021/02/12,258
NJ,2021/03/13,1991
WY,2020/09/08,21
IN,2020/12/19,2957
IN,2020/10/30,1747
MN,2020/10/16,640
MO,2020/11/19,2863
OR,2020/10/04,314
VI,2020/09/30,3
RI,2020/10/16,126
MT,2021/03/15,58
ME,2020/06/05,73
RI,2020/08/29,74
NY,2020/12/26,8603
WV,2021/01/27,661
PA,2021/03/15,1857
CA,2021/03/05,4494
WV,2021/02/10,486
NC,2020/11/21,1926
OH,2020/09/03,1249
AR,2021/02/14,701
VA,2020/11/13,1315
LA,2020/09/04,707
MD,2021/03/10,1041
WA,2020/12/07,1129
NE,2020/12/02,923
ND,2020/12/15,326
VI,2021/02/17,0
IA,2020/12/27,614
KS,2020/10/03,407
MD,2020/10/20,804
MT,2021/02/16,87
WY,2020/11/07,168
ND,2020/12/03,446
CO,2020/03/19,0
GA,2021/01/24,5617
WV,2020/09/25,244
MT,2020/10/03,207
SC,2021/02/04,1582
IL,2021/03/03,1319
IN,2021/02/05,1396
NC,2021/03/20,952
WI,2020/12/21,1483
SC,2021/01/29,1849
OH,2021/01/10,4670
AK,2020/10/05,44
IL,2021/02/22,1554
OH,2020/08/26,1399
WI,2020/10/28,1728
AZ,2021/02/19,1727
UT,2020/09/25,225
SC,2020/09/24,764
AL,2021/03/22,469
AZ,2021/03/07,1000
ID,2020/12/09,460
VI,2020/09/11,1
PR,2021/01/13,422
PA,2020/10/25,1621
TX,2021/01/31,11837
MD,2020/09/13,741
IA,2021/02/22,240
MN,2020/10/31,974
NE,2021/03/05,164
NY,2020/08/30,1327
PA,2021/02/01,3989
MS,2020/11/10,724
WA,2020/11/30,1058
NM,2021/02/11,412
CT,2020/11/21,1007
TX,2020/12/04,9671
VI,2020/10/23,6
NM,2021/01/21,715
OK,2021/03/05,522
HI,2020/09/05,223
IN,2020/10/09,1205
MO,2020/10/29,1677
NM,2021/03/18,157
NJ,2021/01/18,3628
HI,2020/11/10,84
ID,2020/09/10,159
FL,2020/08/28,5450
CA,2020/10/20,3084
MS,2020/10/12,910
MT,2021/03/07,60
TN,2021/03/21,828
WI,2020/12/22,1483
OR,2020/12/12,669
MN,2021/01/30,455
VI,2020/12/03,3
AL,2020/08/30,1238
NY,2021/02/04,8980
SD,2021/01/08,235
MD,2020/09/27,629
UT,2020/11/06,434
OH,2021/02/28,1461
GA,2020/11/20,2287
FL,2020/11/29,4719
CT,2020/11/12,846
WY,2021/03/13,14
AR,2020/09/20,458
KS,2020/12/28,1007
AL,2020/08/21,1513
MS,2021/02/03,895
TN,2021/02/08,1359
MN,2021/02/02,464
KS,2020/12/09,1272
WV,2020/09/26,257
MN,2021/01/05,959
CT,2021/01/20,1272
VA,2021/03/03,1318
SC,2021/01/20,2242
CT,2021/01/23,1231
NY,2021/02/10,8356
MD,2020/11/07,980
RI,2021/02/28,202
NH,2020/12/25,300
PR,2020/12/22,588
IN,2020/08/18,841
CO,2020/10/30,801
AK,2020/10/09,64
FL,2020/11/27,4422
DE,2021/01/24,405
ID,2020/09/01,150
TX,2020/10/17,6587
NY,2020/08/20,1578
AK,2021/03/17,38
RI,2021/03/03,195
PA,2020/08/19,1090
CT,2020/12/12,1397
NM,2021/02/27,208
MT,2021/02/14,90
MO,2021/01/10,2579
RI,2021/01/15,437
CA,2020/09/02,4798
OR,2020/11/17,493
WY,2021/03/10,24
ID,2020/09/16,147
AZ,2020/08/26,920
LA,2020/10/28,631
NC,2020/10/01,1213
AZ,2020/12/13,3809
PA,2021/03/19,2099
VT,2020/12/02,35
CT,2020/11/22,1042
KS,2021/02/10,486
IN,2020/08/24,981
AK,2020/11/28,159
WA,2021/01/17,965
ID,2020/12/23,393
GA,2020/11/28,2454
RI,2020/12/27,470
AK,2020/10/14,60
CA,2020/09/30,3359
AR,2021/02/19,732
VT,2021/03/17,25
MO,2020/10/27,1527
MT,2020/12/06,392
AK,2021/02/27,33
TX,2020/12/02,9933
