timepoints,I,D
277,13776.0,7439.0
278,15201.0,7469.0
279,15970.0,7502.0
280,17564.0,7523.0
281,19356.0,7570.0
282,20713.0,7582.0
283,21228.0,7616.0
284,21228.0,7616.0
285,24119.0,7633.0
286,24884.0,7677.0
287,25683.0,7698.0
288,27555.0,7749.0
289,28511.0,7796.0
290,30984.0,7861.0
291,30984.0,7861.0
292,32819.0,7924.0
293,36366.0,8010.0
294,38683.0,8052.0
295,39987.0,8100.0
296,44235.0,8223.0
297,44975.0,8291.0
298,44975.0,8291.0
299,49136.0,8345.0
300,49965.0,8425.0
301,49516.0,8486.0
302,49902.0,8630.0
303,50593.0,8685.0
304,50406.0,8784.0
305,50406.0,8784.0
306,49339.0,8849.0
307,48254.0,9003.0
308,46902.0,9078.0
309,39391.0,9078.0
310,47212.0,9262.0
311,48092.0,9369.0
312,48092.0,9369.0
313,46544.0,9464.0
314,46243.0,9659.0
315,48884.0,9738.0
316,56442.0,9930.0
317,47377.0,10010.0
318,45229.0,10211.0
319,45229.0,10211.0
320,44136.0,10309.0
321,44242.0,10513.0
322,42116.0,10592.0
323,40755.0,10787.0
324,37871.0,10849.0
325,36644.0,11079.0
326,36644.0,11079.0
327,34304.0,11171.0
328,32997.0,11376.0
329,32236.0,11468.0
330,30440.0,11680.0
331,29753.0,11745.0
332,29067.0,11949.0
333,29067.0,11949.0
334,27161.0,12026.0
335,25073.0,12213.0
336,23794.0,12286.0
337,19393.0,12286.0
338,15040.0,12286.0
339,18673.0,12556.0
340,18673.0,12556.0
341,17137.0,12617.0
342,17780.0,12828.0
343,18359.0,12879.0
344,18359.0,12879.0
345,18359.0,12879.0
346,19172.0,13165.0
347,19172.0,13165.0
348,21214.0,13249.0
349,20565.0,13465.0
350,21424.0,13522.0
351,25610.0,13728.0
352,29169.0,13767.0
353,23792.0,13997.0
354,23792.0,13997.0
355,23493.0,14043.0
356,22974.0,14147.0
357,21439.0,14187.0
358,20479.0,14361.0
359,19953.0,14400.0
360,19242.0,14517.0
361,19242.0,14517.0
362,17602.0,14534.0
363,16448.0,14550.0
364,16604.0,14618.0
365,15886.0,14780.0
366,15352.0,14797.0
367,15023.0,15027.0
368,15023.0,15027.0
369,14471.0,15064.0
370,15434.0,15148.0
371,14154.0,15157.0
372,13855.0,15245.0
373,13392.0,15253.0
374,13159.0,15367.0
375,13159.0,15367.0
376,12773.0,15377.0
377,11798.0,15450.0
378,11505.0,15483.0
379,11126.0,15564.0
380,10745.0,15588.0
381,10380.0,15691.0
382,10380.0,15691.0
383,9877.0,15700.0
384,9421.0,15762.0
385,9020.0,15775.0
386,8623.0,15855.0
387,8439.0,15864.0
388,8141.0,15956.0
389,8141.0,15956.0
390,7444.0,15966.0
391,7561.0,15984.0
392,7446.0,15995.0
393,7163.0,16087.0
394,7134.0,16111.0
395,7038.0,16179.0
396,7038.0,16179.0
397,7296.0,16180.0
398,7927.0,16217.0
399,8249.0,16226.0
400,8655.0,16273.0
401,8454.0,16275.0
402,9069.0,16344.0
403,9069.0,16344.0
404,9297.0,16355.0
405,9229.0,16380.0
406,9380.0,16386.0
407,9574.0,16425.0
408,10096.0,16437.0
409,10353.0,16494.0
410,10353.0,16494.0
411,10741.0,16498.0
412,10633.0,16528.0
413,11587.0,16536.0
414,12249.0,16557.0
415,13342.0,16564.0
416,13661.0,16604.0
417,13661.0,16604.0
418,15223.0,16614.0
419,16254.0,16640.0
420,17373.0,16644.0
421,17910.0,16678.0
422,19423.0,16692.0
423,20676.0,16741.0
424,20676.0,16741.0
425,22596.0,16747.0
426,24562.0,16767.0
427,25875.0,16784.0
428,28667.0,16838.0
429,30311.0,16858.0
430,32287.0,16882.0
431,32287.0,16882.0
432,35777.0,16891.0
433,37545.0,16943.0
434,39555.0,16954.0
435,40828.0,17008.0
436,40919.0,17028.0
437,44964.0,17092.0
438,44964.0,17092.0
439,46789.0,17115.0
440,46625.0,17174.0
441,48928.0,17204.0
442,50411.0,17281.0
443,53111.0,17310.0
444,51356.0,17394.0
445,51356.0,17394.0
446,50830.0,17406.0
447,54954.0,17486.0
448,54894.0,17521.0
449,53561.0,17644.0
450,54557.0,17686.0
451,53111.0,17762.0
452,53111.0,17762.0
453,51738.0,17824.0
454,48054.0,17913.0
455,44704.0,17957.0
456,42984.0,18077.0
457,38805.0,18109.0
458,37945.0,18235.0
459,37945.0,18235.0
460,35853.0,18273.0
461,33850.0,18390.0
462,32791.0,18427.0
463,31449.0,18543.0
464,29672.0,18582.0
465,28167.0,18723.0
466,28167.0,18723.0
467,26641.0,18750.0
468,25187.0,18882.0
469,23322.0,18927.0
470,23222.0,19049.0
471,22726.0,19080.0
472,21609.0,19204.0
473,21609.0,19204.0
474,19045.0,19238.0
475,18604.0,19340.0
476,18307.0,19357.0
477,16618.0,19476.0
478,15362.0,19508.0
479,14274.0,19620.0
480,14274.0,19620.0
481,13866.0,19642.0
482,12731.0,19729.0
483,11914.0,19760.0
484,11180.0,19842.0
485,10279.0,19880.0
486,9990.0,19969.0
487,9990.0,19969.0
488,8873.0,19983.0
489,8318.0,20054.0
490,7495.0,20068.0
491,6754.0,20131.0
492,6303.0,20154.0
493,5665.0,20206.0
494,5665.0,20206.0
495,4231.0,20206.0
496,4223.0,20219.0
497,3627.0,20253.0
498,3317.0,20315.0
499,3127.0,20339.0
500,2981.0,20416.0
501,2981.0,20416.0
502,3442.0,20428.0
503,2827.0,20486.0
504,2608.0,20495.0
505,2440.0,20540.0
506,2219.0,20548.0
507,2032.0,20606.0
508,2032.0,20606.0
509,1961.0,20615.0
510,1821.0,20645.0
511,1740.0,20650.0
512,1550.0,20675.0
513,1394.0,20689.0
514,1167.0,20689.0
515,1167.0,20689.0
516,1136.0,20725.0
517,1105.0,20740.0
518,1263.0,20742.0
519,1268.0,20773.0
520,1233.0,20787.0
521,1233.0,20787.0
522,1233.0,20787.0
523,1250.0,20792.0
524,1311.0,20823.0
525,1254.0,20826.0
526,1299.0,20841.0
527,1290.0,20837.0
528,1290.0,20837.0
