Timestep,Cases,Hospitalizations,Deaths
248.0,6261.0,39.0,6964.0
249.0,6261.0,57.0,6964.0
250.0,6092.0,82.0,6971.0
251.0,6454.0,69.0,6992.0
252.0,6759.0,82.0,7003.0
253.0,6654.0,73.0,7022.0
254.0,6599.0,85.0,7029.0
255.0,6854.0,69.0,7043.0
256.0,6854.0,83.0,7043.0
257.0,6980.0,101.0,7058.0
258.0,7020.0,84.0,7080.0
259.0,7036.0,94.0,7087.0
260.0,7436.0,73.0,7111.0
261.0,7775.0,78.0,7118.0
262.0,8124.0,82.0,7137.0
263.0,8124.0,72.0,7137.0
264.0,8569.0,124.0,7143.0
265.0,8780.0,100.0,7173.0
266.0,9185.0,112.0,7186.0
267.0,10225.0,125.0,7220.0
268.0,11067.0,123.0,7235.0
269.0,11440.0,94.0,7258.0
270.0,11440.0,93.0,7258.0
271.0,12120.0,136.0,7281.0
272.0,12630.0,132.0,7301.0
273.0,12876.0,150.0,7336.0
274.0,12596.0,156.0,7382.0
275.0,12353.0,167.0,7401.0
276.0,13776.0,142.0,7439.0
277.0,13776.0,182.0,7439.0
278.0,15201.0,238.0,7469.0
279.0,15970.0,262.0,7502.0
280.0,17564.0,269.0,7523.0
281.0,19356.0,287.0,7570.0
282.0,20713.0,276.0,7582.0
283.0,21228.0,265.0,7616.0
284.0,21228.0,227.0,7616.0
285.0,24119.0,285.0,7633.0
286.0,24884.0,283.0,7677.0
287.0,25683.0,335.0,7698.0
288.0,27555.0,302.0,7749.0
289.0,28511.0,332.0,7796.0
290.0,30984.0,316.0,7861.0
291.0,30984.0,356.0,7861.0
292.0,32819.0,360.0,7924.0
293.0,36366.0,355.0,8010.0
294.0,38683.0,393.0,8052.0
295.0,39987.0,444.0,8100.0
296.0,44235.0,404.0,8223.0
297.0,44975.0,365.0,8291.0
298.0,44975.0,359.0,8291.0
299.0,49136.0,484.0,8345.0
300.0,49965.0,482.0,8425.0
301.0,49516.0,453.0,8486.0
302.0,49902.0,505.0,8630.0
303.0,50593.0,482.0,8685.0
304.0,50406.0,378.0,8784.0
305.0,50406.0,499.0,8784.0
306.0,49339.0,629.0,8849.0
307.0,48254.0,556.0,9003.0
308.0,46902.0,555.0,9078.0
309.0,39391.0,499.0,9078.0
310.0,47212.0,592.0,9262.0
311.0,48092.0,541.0,9369.0
312.0,48092.0,434.0,9369.0
313.0,46544.0,556.0,9464.0
314.0,46243.0,509.0,9659.0
315.0,48884.0,493.0,9738.0
316.0,56442.0,474.0,9930.0
317.0,47377.0,474.0,10010.0
318.0,45229.0,373.0,10211.0
319.0,45229.0,431.0,10211.0
320.0,44136.0,493.0,10309.0
321.0,44242.0,469.0,10513.0
322.0,42116.0,492.0,10592.0
323.0,40755.0,447.0,10787.0
324.0,37871.0,411.0,10849.0
325.0,36644.0,346.0,11079.0
326.0,36644.0,379.0,11079.0
327.0,34304.0,453.0,11171.0
328.0,32997.0,404.0,11376.0
329.0,32236.0,346.0,11468.0
330.0,30440.0,359.0,11680.0
331.0,29753.0,345.0,11745.0
332.0,29067.0,272.0,11949.0
333.0,29067.0,304.0,11949.0
334.0,27161.0,391.0,12026.0
335.0,25073.0,360.0,12213.0
336.0,23794.0,324.0,12286.0
337.0,19393.0,294.0,12286.0
338.0,15040.0,258.0,12286.0
