timepoint_id,sample_id,model_0/beta_param,model_0/gamma_param,model_1/beta_param,model_1/gamma_param,model_1/delta_param,model_1/alpha_param,model_1/epsilon_param,model_1/zeta_param,model_1/lambda_param,model_1/eta_param,model_1/rho_param,model_1/theta_param,model_1/kappa_param,model_1/mu_param,model_1/nu_param,model_1/xi_param,model_1/tau_param,model_1/sigma_param,model_0_weight,model_1_weight,I_sol,R_sol,S_sol,timepoint_days
0,0,0.02688615582883358,0.12961772084236145,0.010675857774913311,0.5064027905464172,0.01119308453053236,0.6335088610649109,0.15852810442447662,0.10489845275878906,0.03862033039331436,0.10616053640842438,0.03386995568871498,0.3437248170375824,0.01709083467721939,0.018195293843746185,0.029562048614025116,0.018284300342202187,0.009610475040972233,0.014472397975623608,0.5697082877159119,0.43029171228408813,0.5712931752204895,7.390492731684795e-12,999.9984130859375,0.0
1,0,0.02688615582883358,0.12961772084236145,0.010675857774913311,0.5064027905464172,0.01119308453053236,0.6335088610649109,0.15852810442447662,0.10489845275878906,0.03862033039331436,0.10616053640842438,0.03386995568871498,0.3437248170375824,0.01709083467721939,0.018195293843746185,0.029562048614025116,0.018284300342202187,0.009610475040972233,0.014472397975623608,0.5697082877159119,0.43029171228408813,0.5166574120521545,0.07025398313999176,999.9828491210938,1.0
2,0,0.02688615582883358,0.12961772084236145,0.010675857774913311,0.5064027905464172,0.01119308453053236,0.6335088610649109,0.15852810442447662,0.10489845275878906,0.03862033039331436,0.10616053640842438,0.03386995568871498,0.3437248170375824,0.01709083467721939,0.018195293843746185,0.029562048614025116,0.018284300342202187,0.009610475040972233,0.014472397975623608,0.5697082877159119,0.43029171228408813,0.46790024638175964,0.1336984485387802,999.9681396484375,2.0
3,0,0.02688615582883358,0.12961772084236145,0.010675857774913311,0.5064027905464172,0.01119308453053236,0.6335088610649109,0.15852810442447662,0.10489845275878906,0.03862033039331436,0.10616053640842438,0.03386995568871498,0.3437248170375824,0.01709083467721939,0.018195293843746185,0.029562048614025116,0.018284300342202187,0.009610475040972233,0.014472397975623608,0.5697082877159119,0.43029171228408813,0.4247279167175293,0.19102463126182556,999.953857421875,3.0
4,0,0.02688615582883358,0.12961772084236145,0.010675857774913311,0.5064027905464172,0.01119308453053236,0.6335088610649109,0.15852810442447662,0.10489845275878906,0.03862033039331436,0.10616053640842438,0.03386995568871498,0.3437248170375824,0.01709083467721939,0.018195293843746185,0.029562048614025116,0.018284300342202187,0.009610475040972233,0.014472397975623608,0.5697082877159119,0.43029171228408813,0.38701295852661133,0.24286913871765137,999.939697265625,4.0
5,0,0.02688615582883358,0.12961772084236145,0.010675857774913311,0.5064027905464172,0.01119308453053236,0.6335088610649109,0.15852810442447662,0.10489845275878906,0.03862033039331436,0.10616053640842438,0.03386995568871498,0.3437248170375824,0.01709083467721939,0.018195293843746185,0.029562048614025116,0.018284300342202187,0.009610475040972233,0.014472397975623608,0.5697082877159119,0.43029171228408813,37.632476806640625,153.6186981201172,809.318359375,50.0
0,1,0.02619878202676773,0.14168065786361694,0.012573222629725933,0.5101146101951599,0.012671072036027908,0.6613621711730957,0.20368674397468567,0.13599416613578796,0.03127074986696243,0.10541750490665436,0.029343493282794952,0.4433176815509796,0.015298674814403057,0.01921229623258114,0.0258472990244627,0.014447104185819626,0.010712917894124985,0.019994650036096573,0.4503537714481354,0.549646258354187,0.4523783028125763,6.386949562980915e-12,999.9979858398438,0.0
1,1,0.02619878202676773,0.14168065786361694,0.012573222629725933,0.5101146101951599,0.012671072036027908,0.6613621711730957,0.20368674397468567,0.13599416613578796,0.03127074986696243,0.10541750490665436,0.029343493282794952,0.4433176815509796,0.015298674814403057,0.01921229623258114,0.0258472990244627,0.014447104185819626,0.010712917894124985,0.019994650036096573,0.4503537714481354,0.549646258354187,0.4045664370059967,0.06034013628959656,999.98486328125,1.0
2,1,0.02619878202676773,0.14168065786361694,0.012573222629725933,0.5101146101951599,0.012671072036027908,0.6613621711730957,0.20368674397468567,0.13599416613578796,0.03127074986696243,0.10541750490665436,0.029343493282794952,0.4433176815509796,0.015298674814403057,0.01921229623258114,0.0258472990244627,0.014447104185819626,0.010712917894124985,0.019994650036096573,0.4503537714481354,0.549646258354187,0.36262041330337524,0.114153191447258,999.9736938476562,2.0
3,1,0.02619878202676773,0.14168065786361694,0.012573222629725933,0.5101146101951599,0.012671072036027908,0.6613621711730957,0.20368674397468567,0.13599416613578796,0.03127074986696243,0.10541750490665436,0.029343493282794952,0.4433176815509796,0.015298674814403057,0.01921229623258114,0.0258472990244627,0.014447104185819626,0.010712917894124985,0.019994650036096573,0.4503537714481354,0.549646258354187,0.3262242376804352,0.16217806935310364,999.9609375,3.0
4,1,0.02619878202676773,0.14168065786361694,0.012573222629725933,0.5101146101951599,0.012671072036027908,0.6613621711730957,0.20368674397468567,0.13599416613578796,0.03127074986696243,0.10541750490665436,0.029343493282794952,0.4433176815509796,0.015298674814403057,0.01921229623258114,0.0258472990244627,0.014447104185819626,0.010712917894124985,0.019994650036096573,0.4503537714481354,0.549646258354187,0.2952345013618469,0.2050846517086029,999.9501953125,4.0
5,1,0.02619878202676773,0.14168065786361694,0.012573222629725933,0.5101146101951599,0.012671072036027908,0.6613621711730957,0.20368674397468567,0.13599416613578796,0.03127074986696243,0.10541750490665436,0.029343493282794952,0.4433176815509796,0.015298674814403057,0.01921229623258114,0.0258472990244627,0.014447104185819626,0.010712917894124985,0.019994650036096573,0.4503537714481354,0.549646258354187,53.213680267333984,152.67356872558594,794.5631103515625,50.0
0,2,0.0271290373057127,0.16527700424194336,0.011768783442676067,0.40998974442481995,0.009922509081661701,0.578387439250946,0.16668187081813812,0.13090869784355164,0.028139665722846985,0.11389709264039993,0.02920243889093399,0.4016989767551422,0.020205091685056686,0.017784515395760536,0.030033055692911148,0.01534105371683836,0.011864492669701576,0.015917763113975525,0.6208622455596924,0.3791377544403076,0.622258722782135,1.0265383161567332e-11,999.9985961914062,0.0
1,2,0.0271290373057127,0.16527700424194336,0.011768783442676067,0.40998974442481995,0.009922509081661701,0.578387439250946,0.16668187081813812,0.13090869784355164,0.028139665722846985,0.11389709264039993,0.02920243889093399,0.4016989767551422,0.020205091685056686,0.017784515395760536,0.030033055692911148,0.01534105371683836,0.011864492669701576,0.015917763113975525,0.6208622455596924,0.3791377544403076,0.5429007411003113,0.09589020907878876,999.9818115234375,1.0
2,2,0.0271290373057127,0.16527700424194336,0.011768783442676067,0.40998974442481995,0.009922509081661701,0.578387439250946,0.16668187081813812,0.13090869784355164,0.028139665722846985,0.11389709264039993,0.02920243889093399,0.4016989767551422,0.020205091685056686,0.017784515395760536,0.030033055692911148,0.01534105371683836,0.011864492669701576,0.015917763113975525,0.6208622455596924,0.3791377544403076,0.4741218686103821,0.1794370412826538,999.967529296875,2.0
3,2,0.0271290373057127,0.16527700424194336,0.011768783442676067,0.40998974442481995,0.009922509081661701,0.578387439250946,0.16668187081813812,0.13090869784355164,0.028139665722846985,0.11389709264039993,0.02920243889093399,0.4016989767551422,0.020205091685056686,0.017784515395760536,0.030033055692911148,0.01534105371683836,0.011864492669701576,0.015917763113975525,0.6208622455596924,0.3791377544403076,0.4146997332572937,0.25224730372428894,999.9546508789062,3.0
4,2,0.0271290373057127,0.16527700424194336,0.011768783442676067,0.40998974442481995,0.009922509081661701,0.578387439250946,0.16668187081813812,0.13090869784355164,0.028139665722846985,0.11389709264039993,0.02920243889093399,0.4016989767551422,0.020205091685056686,0.017784515395760536,0.030033055692911148,0.01534105371683836,0.011864492669701576,0.015917763113975525,0.6208622455596924,0.3791377544403076,0.36362341046333313,0.31572309136390686,999.9420166015625,4.0
5,2,0.0271290373057127,0.16527700424194336,0.011768783442676067,0.40998974442481995,0.009922509081661701,0.578387439250946,0.16668187081813812,0.13090869784355164,0.028139665722846985,0.11389709264039993,0.02920243889093399,0.4016989767551422,0.020205091685056686,0.017784515395760536,0.030033055692911148,0.01534105371683836,0.011864492669701576,0.015917763113975525,0.6208622455596924,0.3791377544403076,63.5887565612793,82.02244567871094,855.009765625,50.0
0,3,0.0270698219537735,0.11891528218984604,0.009102770127356052,0.49332934617996216,0.011726346798241138,0.5961622595787048,0.15936534106731415,0.1034284383058548,0.030051197856664658,0.10673404484987259,0.027686193585395813,0.30141252279281616,0.017989657819271088,0.019875582307577133,0.027046965435147285,0.013845587149262428,0.008823842741549015,0.015411613509058952,0.753908097743988,0.24609190225601196,0.7548145651817322,8.967830818218392e-12,999.9990844726562,0.0
1,3,0.0270698219537735,0.11891528218984604,0.009102770127356052,0.49332934617996216,0.011726346798241138,0.5961622595787048,0.15936534106731415,0.1034284383058548,0.030051197856664658,0.10673404484987259,0.027686193585395813,0.30141252279281616,0.017989657819271088,0.019875582307577133,0.027046965435147285,0.013845587149262428,0.008823842741549015,0.015411613509058952,0.753908097743988,0.24609190225601196,0.6891741156578064,0.0856904536485672,999.9788208007812,1.0
2,3,0.0270698219537735,0.11891528218984604,0.009102770127356052,0.49332934617996216,0.011726346798241138,0.5961622595787048,0.15936534106731415,0.1034284383058548,0.030051197856664658,0.10673404484987259,0.027686193585395813,0.30141252279281616,0.017989657819271088,0.019875582307577133,0.027046965435147285,0.013845587149262428,0.008823842741549015,0.015411613509058952,0.753908097743988,0.24609190225601196,0.6295612454414368,0.1638806015253067,999.9605102539062,2.0
3,3,0.0270698219537735,0.11891528218984604,0.009102770127356052,0.49332934617996216,0.011726346798241138,0.5961622595787048,0.15936534106731415,0.1034284383058548,0.030051197856664658,0.10673404484987259,0.027686193585395813,0.30141252279281616,0.017989657819271088,0.019875582307577133,0.027046965435147285,0.013845587149262428,0.008823842741549015,0.015411613509058952,0.753908097743988,0.24609190225601196,0.575575053691864,0.23523882031440735,999.943115234375,3.0
4,3,0.0270698219537735,0.11891528218984604,0.009102770127356052,0.49332934617996216,0.011726346798241138,0.5961622595787048,0.15936534106731415,0.1034284383058548,0.030051197856664658,0.10673404484987259,0.027686193585395813,0.30141252279281616,0.017989657819271088,0.019875582307577133,0.027046965435147285,0.013845587149262428,0.008823842741549015,0.015411613509058952,0.753908097743988,0.24609190225601196,0.5269073247909546,0.30037954449653625,999.9263305664062,4.0
5,3,0.0270698219537735,0.11891528218984604,0.009102770127356052,0.49332934617996216,0.011726346798241138,0.5961622595787048,0.15936534106731415,0.1034284383058548,0.030051197856664658,0.10673404484987259,0.027686193585395813,0.30141252279281616,0.017989657819271088,0.019875582307577133,0.027046965435147285,0.013845587149262428,0.008823842741549015,0.015411613509058952,0.753908097743988,0.24609190225601196,31.44026756286621,69.83485412597656,899.4788818359375,50.0
0,4,0.027546420693397522,0.16882172226905823,0.009793517179787159,0.3769325613975525,0.010956934653222561,0.5462198257446289,0.15456385910511017,0.13506938517093658,0.034389838576316833,0.11193730682134628,0.03169042617082596,0.315273255109787,0.014430319890379906,0.01569535583257675,0.030356649309396744,0.01438925601541996,0.011691217310726643,0.015476569533348083,0.9740213751792908,0.02597862482070923,0.9741170406341553,1.6443924347187e-11,999.9998779296875,0.0
1,4,0.027546420693397522,0.16882172226905823,0.009793517179787159,0.3769325613975525,0.010956934653222561,0.5462198257446289,0.15456385910511017,0.13506938517093658,0.034389838576316833,0.11193730682134628,0.03169042617082596,0.315273255109787,0.014430319890379906,0.01569535583257675,0.030356649309396744,0.01438925601541996,0.011691217310726643,0.015476569533348083,0.9740213751792908,0.02597862482070923,0.8458147644996643,0.15335068106651306,999.9747924804688,1.0
2,4,0.027546420693397522,0.16882172226905823,0.009793517179787159,0.3769325613975525,0.010956934653222561,0.5462198257446289,0.15456385910511017,0.13506938517093658,0.034389838576316833,0.11193730682134628,0.03169042617082596,0.315273255109787,0.014430319890379906,0.01569535583257675,0.030356649309396744,0.01438925601541996,0.011691217310726643,0.015476569533348083,0.9740213751792908,0.02597862482070923,0.7344390153884888,0.2864958643913269,999.9531860351562,2.0
3,4,0.027546420693397522,0.16882172226905823,0.009793517179787159,0.3769325613975525,0.010956934653222561,0.5462198257446289,0.15456385910511017,0.13506938517093658,0.034389838576316833,0.11193730682134628,0.03169042617082596,0.315273255109787,0.014430319890379906,0.01569535583257675,0.030356649309396744,0.01438925601541996,0.011691217310726643,0.015476569533348083,0.9740213751792908,0.02597862482070923,0.6377664804458618,0.40209901332855225,999.9337158203125,3.0
4,4,0.027546420693397522,0.16882172226905823,0.009793517179787159,0.3769325613975525,0.010956934653222561,0.5462198257446289,0.15456385910511017,0.13506938517093658,0.034389838576316833,0.11193730682134628,0.03169042617082596,0.315273255109787,0.014430319890379906,0.01569535583257675,0.030356649309396744,0.01438925601541996,0.011691217310726643,0.015476569533348083,0.9740213751792908,0.02597862482070923,0.5538718700408936,0.5024728178977966,999.9175415039062,4.0
