timepoint_id,sample_id,model_0/beta_param,model_0/gamma_param,model_1/beta_param,model_1/gamma_param,model_1/delta_param,model_1/alpha_param,model_1/epsilon_param,model_1/zeta_param,model_1/lambda_param,model_1/eta_param,model_1/rho_param,model_1/theta_param,model_1/kappa_param,model_1/mu_param,model_1/nu_param,model_1/xi_param,model_1/tau_param,model_1/sigma_param,model_0_weight,model_1_weight,I_sol,R_sol,S_sol,timepoint_days
0,0,0.027057647705078125,0.1257338523864746,0.009643401019275188,0.3736884891986847,0.010110854171216488,0.530254065990448,0.1623016893863678,0.10547222942113876,0.04034646973013878,0.1051231399178505,0.03438066318631172,0.33776915073394775,0.020089471712708473,0.019121218472719193,0.02556518279016018,0.014607061631977558,0.010375292040407658,0.01960788294672966,0.12951971590518951,0.8704802989959717,0.13272598385810852,1.6412772833526712e-12,999.996826171875,0.0
1,0,0.027057647705078125,0.1257338523864746,0.009643401019275188,0.3736884891986847,0.010110854171216488,0.530254065990448,0.1623016893863678,0.10547222942113876,0.04034646973013878,0.1051231399178505,0.03438066318631172,0.33776915073394775,0.020089471712708473,0.019121218472719193,0.02556518279016018,0.014607061631977558,0.010375292040407658,0.01960788294672966,0.12951971590518951,0.8704802989959717,0.12208977341651917,0.015661168843507767,999.9913940429688,1.0
2,0,0.027057647705078125,0.1257338523864746,0.009643401019275188,0.3736884891986847,0.010110854171216488,0.530254065990448,0.1623016893863678,0.10547222942113876,0.04034646973013878,0.1051231399178505,0.03438066318631172,0.33776915073394775,0.020089471712708473,0.019121218472719193,0.02556518279016018,0.014607061631977558,0.010375292040407658,0.01960788294672966,0.12951971590518951,0.8704802989959717,0.11299820244312286,0.029928652569651604,999.9866943359375,2.0
3,0,0.027057647705078125,0.1257338523864746,0.009643401019275188,0.3736884891986847,0.010110854171216488,0.530254065990448,0.1623016893863678,0.10547222942113876,0.04034646973013878,0.1051231399178505,0.03438066318631172,0.33776915073394775,0.020089471712708473,0.019121218472719193,0.02556518279016018,0.014607061631977558,0.010375292040407658,0.01960788294672966,0.12951971590518951,0.8704802989959717,0.1055077537894249,0.042960263788700104,999.9815673828125,3.0
4,0,0.027057647705078125,0.1257338523864746,0.009643401019275188,0.3736884891986847,0.010110854171216488,0.530254065990448,0.1623016893863678,0.10547222942113876,0.04034646973013878,0.1051231399178505,0.03438066318631172,0.33776915073394775,0.020089471712708473,0.019121218472719193,0.02556518279016018,0.014607061631977558,0.010375292040407658,0.01960788294672966,0.12951971590518951,0.8704802989959717,0.09973251074552536,0.05490810424089432,999.9749755859375,4.0
5,0,0.027057647705078125,0.1257338523864746,0.009643401019275188,0.3736884891986847,0.010110854171216488,0.530254065990448,0.1623016893863678,0.10547222942113876,0.04034646973013878,0.1051231399178505,0.03438066318631172,0.33776915073394775,0.020089471712708473,0.019121218472719193,0.02556518279016018,0.014607061631977558,0.010375292040407658,0.01960788294672966,0.12951971590518951,0.8704802989959717,191.39344787597656,38.91276931762695,769.8233642578125,40.0
6,0,0.027057647705078125,0.1257338523864746,0.009643401019275188,0.3736884891986847,0.010110854171216488,0.530254065990448,0.1623016893863678,0.10547222942113876,0.04034646973013878,0.1051231399178505,0.03438066318631172,0.33776915073394775,0.020089471712708473,0.019121218472719193,0.02556518279016018,0.014607061631977558,0.010375292040407658,0.01960788294672966,0.12951971590518951,0.8704802989959717,229.27674865722656,151.3802032470703,619.472412109375,50.0
0,1,0.02678300440311432,0.11302749812602997,0.013014158234000206,0.37216705083847046,0.011859926395118237,0.584964394569397,0.19462595880031586,0.14026960730552673,0.028826257213950157,0.10428040474653244,0.02925773710012436,0.318520188331604,0.02023572102189064,0.016681071370840073,0.028438132256269455,0.015453382395207882,0.009962723590433598,0.01370493695139885,0.3257090151309967,0.6742909550666809,0.32819265127182007,3.688601941248537e-12,999.99755859375,0.0
1,1,0.02678300440311432,0.11302749812602997,0.013014158234000206,0.37216705083847046,0.011859926395118237,0.584964394569397,0.19462595880031586,0.14026960730552673,0.028826257213950157,0.10428040474653244,0.02925773710012436,0.318520188331604,0.02023572102189064,0.016681071370840073,0.028438132256269455,0.015453382395207882,0.009962723590433598,0.01370493695139885,0.3257090151309967,0.6742909550666809,0.30263400077819824,0.035361021757125854,999.987548828125,1.0
2,1,0.02678300440311432,0.11302749812602997,0.013014158234000206,0.37216705083847046,0.011859926395118237,0.584964394569397,0.19462595880031586,0.14026960730552673,0.028826257213950157,0.10428040474653244,0.02925773710012436,0.318520188331604,0.02023572102189064,0.016681071370840073,0.028438132256269455,0.015453382395207882,0.009962723590433598,0.01370493695139885,0.3257090151309967,0.6742909550666809,0.2796787917613983,0.0678514912724495,999.9779052734375,2.0
3,1,0.02678300440311432,0.11302749812602997,0.013014158234000206,0.37216705083847046,0.011859926395118237,0.584964394569397,0.19462595880031586,0.14026960730552673,0.028826257213950157,0.10428040474653244,0.02925773710012436,0.318520188331604,0.02023572102189064,0.016681071370840073,0.028438132256269455,0.015453382395207882,0.009962723590433598,0.01370493695139885,0.3257090151309967,0.6742909550666809,0.2593100070953369,0.09772787988185883,999.96875,3.0
4,1,0.02678300440311432,0.11302749812602997,0.013014158234000206,0.37216705083847046,0.011859926395118237,0.584964394569397,0.19462595880031586,0.14026960730552673,0.028826257213950157,0.10428040474653244,0.02925773710012436,0.318520188331604,0.02023572102189064,0.016681071370840073,0.028438132256269455,0.015453382395207882,0.009962723590433598,0.01370493695139885,0.3257090151309967,0.6742909550666809,0.24158336222171783,0.1252324879169464,999.9588623046875,4.0
5,1,0.02678300440311432,0.11302749812602997,0.013014158234000206,0.37216705083847046,0.011859926395118237,0.584964394569397,0.19462595880031586,0.14026960730552673,0.028826257213950157,0.10428040474653244,0.02925773710012436,0.318520188331604,0.02023572102189064,0.016681071370840073,0.028438132256269455,0.015453382395207882,0.009962723590433598,0.01370493695139885,0.3257090151309967,0.6742909550666809,198.35401916503906,40.017032623291016,761.954833984375,40.0
