timepoint_id,sample_id,beta_param,gamma_param,delta_param,alpha_param,epsilon_param,zeta_param,lambda_param,eta_param,rho_param,theta_param,kappa_param,mu_param,nu_param,xi_param,tau_param,sigma_param,Ailing_sol,Diagnosed_sol,Extinct_sol,Healed_sol,Infected_sol,Recognized_sol,Susceptible_sol,Threatened_sol,Cases_obs,Hospitalizations_obs,Deaths_obs
0,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,1.666666626931601e-08,3.3333333249174757e-07,6.028646205098938e-32,1.2618450820136163e-17,3.3333333249174757e-06,3.333333253863202e-08,0.9999963045120239,1.2127244554321361e-19,3.666666650305009e-07,3.333333253875329e-08,6.028646205098938e-32
1,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,3.9563389009344974e-07,8.8431357880836e-07,2.141583958781279e-11,1.5577136025513028e-07,4.355085820861859e-06,1.830576650263538e-07,0.9999943375587463,6.054996948279268e-09,1.073426240782993e-06,1.8911266197463306e-07,2.141583958781279e-11
2,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,7.742145839984005e-07,1.5523403362749377e-06,1.6351281439952459e-10,3.8570192373299506e-07,5.859909379068995e-06,5.375886757974513e-07,0.9999909400939941,2.5191580377281753e-08,2.1151205924496708e-06,5.62780256174733e-07,1.6351281439952459e-10
3,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,1.2072335948687396e-06,2.4068613129202276e-06,5.849300488414144e-10,7.181557180047093e-07,7.998263754416257e-06,1.1176899761267123e-06,0.9999862313270569,6.331013935323426e-08,3.587861428400174e-06,1.1810001154799465e-06,5.849300488414144e-10
4,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,1.7519479342809063e-06,3.5372656839172123e-06,1.510942704285867e-09,1.1922979865630623e-06,1.0990974260494113e-05,1.97111580746423e-06,0.9999805092811584,1.2810085081582656e-07,5.636482342197269e-06,2.0992166582800564e-06,1.510942704285867e-09
5,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,2.471607103871065e-06,5.060489002062241e-06,3.2536413563377664e-09,1.86171939731139e-06,1.5150899344007485e-05,3.178867018505116e-06,0.9999719858169556,2.2971602220422938e-07,8.469072042771586e-06,3.4085830407093454e-06,3.2536413563377664e-09
6,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,3.446314849497867e-06,7.13618010195205e-06,6.2464557970542955e-09,2.8010604182782117e-06,2.0919072994729504e-05,4.862204150413163e-06,0.9999604821205139,3.8206806607377075e-07,1.2380452318438984e-05,5.244272216486934e-06,6.2464557970542955e-09
7,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,4.781992629432352e-06,9.981793482438661e-06,1.1081608519702968e-08,4.112911938136676e-06,2.8904323698952794e-05,7.192370958364336e-06,0.9999450445175171,6.041400979484024e-07,1.77783045387514e-05,7.796511056312738e-06,1.1081608519702968e-08
8,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,6.6216061895829625e-06,1.3897182725486346e-05,1.8576560734118175e-08,5.939607945038006e-06,3.995365841547027e-05,1.0411258699605241e-05,0.9999222755432129,9.221496384270722e-07,2.523059106351866e-05,1.1333408338032314e-05,1.8576560734118175e-08
9,0,0.011099232360720634,0.45926618576049805,0.010829419828951359,0.5670731067657471,0.1697314977645874,0.12205878645181656,0.03418707475066185,0.12450727820396423,0.034151311963796616,0.37802252173423767,0.01637526974081993,0.01716003194451332,0.027801716700196266,0.017126791179180145,0.009942259639501572,0.018315451219677925,9.161047273664735e-06,1.9295381207484752e-05,2.985441938108124e-08,8.47768023959361e-06,5.523728395928629e-05,1.485464508732548e-05,0.999890923500061,1.3722394669457572e-06,3.552226576175599e-05,1.6226884554271237e-05,2.985441938108124e-08
