timepoint_id,sample_id,timepoint_unknown,alpha,beta,delta,epsilon,eta,gamma,kappa,lambda,mu,nu,rho,theta,xi,zeta,tau,sigma,Susceptible,Diagnosed,Infected,Ailing,Recognized,Healed,Threatened,Extinct,TotalInfected,R0
0,0,0.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9999963045120239,3.3333333249174757e-07,3.3333333249174757e-06,1.666666626931601e-08,3.333333253863202e-08,0.0,0.0,0.0,3.7166666970733786e-06,2.3621532917022705
1,0,1.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9999943375587463,8.898629744180653e-07,4.3340996853658e-06,4.0894997255236376e-07,1.8518436206704791e-07,1.5463554348116304e-07,6.072758740316431e-09,2.1592590562780067e-11,5.824169875268126e-06,2.3621532917022705
2,0,2.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9999910593032837,1.5604869076923933e-06,5.809948106616503e-06,8.006321081666101e-07,5.45109969607438e-07,3.8276186842267634e-07,2.527265507978882e-08,1.652463166301743e-10,8.741450074012391e-06,2.3621532917022705
3,0,3.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9999868273735046,2.414334176137345e-06,7.905880011094268e-06,1.247556610906031e-06,1.1336952638885123e-06,7.121287808331545e-07,6.3421325080526e-08,5.908040723312524e-10,1.2764886378135998e-05,2.3621532917022705
4,0,4.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.999980628490448,3.5397742976783775e-06,1.0834917702595703e-05,1.807978037504654e-06,1.9985379822173854e-06,1.1810060414063628e-06,1.2810907890070666e-07,1.5244628892574497e-09,1.8309317965758964e-05,2.3621532917022705
5,0,5.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9999725222587585,5.051809239375871e-06,1.4898667359375395e-05,2.5461631594225764e-06,3.220326789232786e-06,1.8416699276713189e-06,2.293484726578754e-07,3.2786144910090798e-09,2.5946314053726383e-05,2.3621532917022705
6,0,6.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9999607801437378,7.1067784119804855e-06,2.0521776605164632e-05,3.543151024132385e-06,4.9198788474313915e-06,2.766770194284618e-06,3.808335407029517e-07,6.286149822898324e-09,3.64724182873033e-05,2.3621532917022705
7,0,7.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9999446868896484,9.917075658449903e-06,2.8289285182836466e-05,4.905849891656544e-06,7.26748521628906e-06,4.055964836879866e-06,6.012133439980971e-07,1.113728576029871e-08,5.09809069626499e-05,2.3621532917022705
8,0,8.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9999231696128845,1.377467742713634e-05,3.901338641298935e-05,6.778087026759749e-06,1.0503253179194871e-05,5.8471860029385425e-06,9.161823300019023e-07,1.8644740862328035e-08,7.098558853613213e-05,2.3621532917022705
9,0,9.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9998925924301147,1.9080849597230554e-05,5.3813899285160005e-05,9.356472219224088e-06,1.4959878171794116e-05,8.330494893016294e-06,1.3610871292257798e-06,2.992290504266748e-08,9.8572185379453e-05,2.3621532917022705
